Capacity,Available,Waitlist,PercentAvailable,Undergrad,Dept,CourseNum,StudyAbroad
12.0,5.0,-1.0,0.4166666666666667,False,MUSICOL,605,False
14.0,8.0,-1.0,0.5714285714285714,False,MUSICOL,606,False
16.0,4.0,-1.0,0.25,False,MUSICOL,622,False
10.0,0.0,-1.0,0.0,False,MUSICOL,650,False
420.0,210.0,-8.0,0.5,False,MUSICOL,881,False
210.0,105.0,-9.0,0.5,False,MUSICOL,990,False
404.0,201.0,-10.0,0.4975247524752475,False,MUSICOL,995,False
28.0,11.0,-1.0,0.39285714285714285,True,NATIVEAM,223,False
26.0,10.0,2.0,0.38461538461538464,True,NATIVEAM,310,False
26.0,13.0,-1.0,0.5,True,NATIVEAM,323,False
25.0,3.0,8.0,0.12,True,NATIVEAM,367,False
5.0,0.0,-1.0,0.0,True,NATIVEAM,388,False
48.0,24.0,-2.0,0.5,True,NATIVEAM,389,False
14.0,0.0,-1.0,0.0,False,NATIVEAM,601,False
30.0,5.0,-1.0,0.16666666666666666,True,NAVARCH,310,False
30.0,5.0,-1.0,0.16666666666666666,True,NAVARCH,321,False
30.0,6.0,-1.0,0.2,True,NAVARCH,332,False
30.0,5.0,-1.0,0.16666666666666666,True,NAVARCH,370,False
20.0,0.0,-1.0,0.0,True,NAVARCH,423,False
25.0,25.0,-1.0,1.0,True,NAVARCH,451,False
30.0,10.0,-1.0,0.3333333333333333,True,NAVARCH,461,False
30.0,5.0,-1.0,0.16666666666666666,True,NAVARCH,475,False
50.0,35.0,-1.0,0.7,True,NAVARCH,483,False
12.0,6.0,-1.0,0.5,False,NAVARCH,510,False
28.0,14.0,-1.0,0.5,False,NAVARCH,520,False
18.0,9.0,-1.0,0.5,False,NAVARCH,552,False
115.0,8.0,-2.0,0.06956521739130435,False,NAVARCH,568,False
65.0,28.0,-2.0,0.4307692307692308,False,NAVARCH,599,False
1150.0,575.0,-24.0,0.5,False,NAVARCH,990,False
1098.0,548.0,-23.0,0.4990892531876138,False,NAVARCH,995,False
28.0,8.0,-1.0,0.2857142857142857,True,NAVSCI,102,False
24.0,13.0,-1.0,0.5416666666666666,True,NAVSCI,202,False
25.0,9.0,-1.0,0.36,True,NAVSCI,301,False
40.0,20.0,-1.0,0.5,True,NAVSCI,310,False
18.0,4.0,-1.0,0.2222222222222222,True,NAVSCI,402,False
20.0,10.0,-1.0,0.5,True,NAVSCI,410,False
78.0,29.0,-1.0,0.3717948717948718,True,NERS,201,False
60.0,2.0,-1.0,0.03333333333333333,True,NERS,211,False
32.0,9.0,-1.0,0.28125,True,NERS,250,False
300.0,150.0,-7.0,0.5,True,NERS,299,False
30.0,11.0,-1.0,0.36666666666666664,True,NERS,312,False
90.0,44.0,-1.0,0.4888888888888889,True,NERS,315,False
30.0,14.0,-1.0,0.4666666666666667,True,NERS,344,False
56.0,27.0,-1.0,0.48214285714285715,True,NERS,425,False
16.0,9.0,-1.0,0.5625,True,NERS,442,False
50.0,26.0,-1.0,0.52,True,NERS,472,False
20.0,5.0,-1.0,0.25,True,NERS,492,False
108.0,44.0,-1.0,0.4074074074074074,False,NERS,515,False
20.0,2.0,-1.0,0.1,False,NERS,524,False
16.0,6.0,-1.0,0.375,False,NERS,535,False
22.0,11.0,-1.0,0.5,False,NERS,551,False
18.0,9.0,-1.0,0.5,False,NERS,561,False
20.0,6.0,-1.0,0.3,False,NERS,572,False
16.0,0.0,5.0,0.0,False,NERS,575,False
40.0,20.0,-1.0,0.5,False,NERS,584,False
12.0,5.0,-1.0,0.4166666666666667,False,NERS,586,False
110.0,53.0,-4.0,0.4818181818181818,False,NERS,590,False
1996.0,998.0,-41.0,0.5,False,NERS,599,False
18.0,6.0,-1.0,0.3333333333333333,False,NERS,622,False
546.0,273.0,-44.0,0.5,False,NERS,799,False
2246.0,1120.0,-46.0,0.4986642920747996,False,NERS,990,False
24.0,0.0,-1.0,0.0,True,NEUROSCI,470,False
22.0,11.0,-1.0,0.5,False,NEUROSCI,525,False
60.0,28.0,-1.0,0.4666666666666667,False,NEUROSCI,602,False
30.0,11.0,-1.0,0.36666666666666664,False,NEUROSCI,614,False
30.0,11.0,-1.0,0.36666666666666664,False,NEUROSCI,615,False
30.0,11.0,-1.0,0.36666666666666664,False,NEUROSCI,616,False
25.0,25.0,-2.0,1.0,False,NEUROSCI,801,False
200.0,71.0,-1.0,0.355,True,NURS,210,False
375.0,45.0,5.0,0.12,True,NURS,220,False
150.0,7.0,11.0,0.04666666666666667,False,NUTR,518,False
30.0,0.0,9.0,0.0,True,ORGSTUDY,195,False
150.0,7.0,21.0,0.04666666666666667,True,ORGSTUDY,201,False
60.0,0.0,11.0,0.0,True,ORGSTUDY,204,False
300.0,78.0,-1.0,0.26,True,ORGSTUDY,208,False
20.0,0.0,-1.0,0.0,True,ORGSTUDY,440,False
20.0,2.0,-1.0,0.1,True,ORGSTUDY,445,False
36.0,0.0,25.0,0.0,True,ORGSTUDY,495,False
144.0,72.0,-4.0,0.5,True,ORGSTUDY,498,False
49.0,49.0,-3.0,1.0,True,ORGSTUDY,499,False
48.0,0.0,83.0,0.0,True,PAT,200,False
83.0,0.0,46.0,0.0,True,PAT,472,False
48.0,0.0,70.0,0.0,False,PAT,500,False
26.0,13.0,-1.0,0.5,False,PATH,581,False
1.0,1.0,-1.0,1.0,False,PATH,699,False
50.0,25.0,-1.0,0.5,False,PATH,851,False
18.0,2.0,-1.0,0.1111111111111111,True,PERSIAN,102,False
14.0,5.0,-1.0,0.35714285714285715,True,PERSIAN,202,False
2.0,1.0,-1.0,0.5,True,PERSIAN,499,False
18.0,8.0,-1.0,0.4444444444444444,False,PERSIAN,505,False
90.0,78.0,-1.0,0.8666666666666667,True,PHARMACY,217,False
88.0,26.0,-1.0,0.29545454545454547,True,PHARMSCI,101,False
112.0,54.0,-1.0,0.48214285714285715,True,PHARMSCI,211,False
40.0,0.0,-1.0,0.0,True,PHARMSCI,420,False
26.0,6.0,-1.0,0.23076923076923078,False,PHARMSCI,519,False
200.0,1.0,52.0,0.005,True,PHIL,101,False
150.0,6.0,124.0,0.04,True,PHIL,110,False
700.0,2.0,104.0,0.002857142857142857,True,PHIL,183,False
18.0,0.0,17.0,0.0,True,PHIL,196,False
200.0,0.0,14.0,0.0,True,PHIL,250,False
50.0,1.0,14.0,0.02,True,PHIL,275,False
